feature_mode,dimensions,case_id,time_s,direct_cosine_max_error,explicit_interference_max_error,answer_invariant,key_energy,key_energy_error
raw_bytes,16384,q02,1234.5,4.218847493575595e-15,4.3298697960381105e-15,True,40.0,0.0
raw_bytes,16384,q02,1000000000000.0,4.218847493575595e-15,4.3298697960381105e-15,True,40.0,0.0
raw_bytes,16384,q03,0.0,7.993605777301127e-15,8.215650382226158e-15,True,40.0,0.0
raw_bytes,16384,q03,0.0137,7.993605777301127e-15,8.215650382226158e-15,True,40.0,0.0
raw_bytes,16384,q03,1.0,7.993605777301127e-15,8.215650382226158e-15,True,40.0,0.0
raw_bytes,16384,q03,1234.5,7.993605777301127e-15,8.215650382226158e-15,True,40.0,0.0
raw_bytes,16384,q03,1000000000000.0,7.993605777301127e-15,8.215650382226158e-15,True,40.0,0.0
words,256,q01,0.0,4.996003610813204e-16,4.440892098500626e-16,True,40.0,0.0
words,256,q01,0.0137,4.996003610813204e-16,4.440892098500626e-16,True,40.0,0.0
words,256,q01,1.0,4.996003610813204e-16,4.440892098500626e-16,True,40.0,0.0
words,256,q01,1234.5,4.996003610813204e-16,4.440892098500626e-16,True,40.0,0.0
words,256,q01,1000000000000.0,4.996003610813204e-16,4.440892098500626e-16,True,40.0,0.0
words,256,q02,0.0,2.220446049250313e-16,2.1684043449710089e-16,True,40.0,0.0
words,256,q02,0.0137,2.220446049250313e-16,2.1684043449710089e-16,True,40.0,0.0
words,256,q02,1.0,2.220446049250313e-16,2.1684043449710089e-16,True,40.0,0.0
words,256,q02,1234.5,2.220446049250313e-16,2.1684043449710089e-16,True,40.0,0.0
words,256,q02,1000000000000.0,2.220446049250313e-16,2.1684043449710089e-16,True,40.0,0.0
words,256,q03,0.0,2.220446049250313e-16,3.885780586188048e-16,True,40.0,0.0
words,256,q03,0.0137,2.220446049250313e-16,3.885780586188048e-16,True,40.0,0.0
words,256,q03,1.0,2.220446049250313e-16,3.885780586188048e-16,True,40.0,0.0
words,256,q03,1234.5,2.220446049250313e-16,3.885780586188048e-16,True,40.0,0.0
words,256,q03,1000000000000.0,2.220446049250313e-16,3.885780586188048e-16,True,40.0,0.0
words,1024,q01,0.0,4.440892098500626e-16,5.551115123125783e-16,True,40.0,0.0
words,1024,q01,0.0137,4.440892098500626e-16,5.551115123125783e-16,True,40.0,0.0
words,1024,q01,1.0,4.440892098500626e-16,5.551115123125783e-16,True,40.0,0.0
words,1024,q01,1234.5,4.440892098500626e-16,5.551115123125783e-16,True,40.0,0.0
words,1024,q01,1000000000000.0,4.440892098500626e-16,5.551115123125783e-16,True,40.0,0.0
words,1024,q02,0.0,7.771561172376096e-16,6.661338147750939e-16,True,40.0,0.0
words,1024,q02,0.0137,7.771561172376096e-16,6.661338147750939e-16,True,40.0,0.0
words,1024,q02,1.0,7.771561172376096e-16,6.661338147750939e-16,True,40.0,0.0
words,1024,q02,1234.5,7.771561172376096e-16,6.661338147750939e-16,True,40.0,0.0
words,1024,q02,1000000000000.0,7.771561172376096e-16,6.661338147750939e-16,True,40.0,0.0
words,1024,q03,0.0,4.440892098500626e-16,4.440892098500626e-16,True,40.0,0.0
words,1024,q03,0.0137,4.440892098500626e-16,4.440892098500626e-16,True,40.0,0.0
