append_number,document_count,whole_rebuild_ms,incremental_append_ms,query_ms,snapshot_ms,old_payload_identity_unchanged,old_spectra_unchanged,immediate_self_retrieval,all_key_modes,all_payload_modes,payload_modes,snapshot_modes
79,79,33.2534,5.7655,1.5693,6.6622,True,True,True,True,True,6874,16047
80,80,33.4535,5.8849,1.6032,8.1373,True,True,True,True,True,6966,16273
81,81,32.9416,6.5184,1.2949,7.7367,True,True,True,True,True,7030,16453
82,82,34.2819,5.559,1.4301,6.971,True,True,True,True,True,7078,16610
83,83,33.9636,5.8767,1.4752,7.8146,True,True,True,True,True,7160,16804
84,84,37.785,5.8448,1.6184,7.2019,True,True,True,True,True,7225,16999
85,85,35.7042,6.0822,1.5101,7.4415,True,True,True,True,True,7287,17184
86,86,34.7942,5.9772,1.576,7.2302,True,True,True,True,True,7349,17369
87,87,34.6532,6.2364,1.4175,7.0962,True,True,True,True,True,7402,17544
88,88,37.2178,5.8538,1.6342,8.0953,True,True,True,True,True,7454,17705
89,89,38.1511,5.9255,1.4885,7.1643,True,True,True,True,True,7518,17885
90,90,37.078,6.3725,1.7008,7.6283,True,True,True,True,True,7576,18072
91,91,40.1603,6.3084,1.4595,9.3869,True,True,True,True,True,7653,18266
92,92,37.1471,7.0551,1.6857,7.4638,True,True,True,True,True,7756,18513
93,93,34.9541,6.6891,1.5244,8.6144,True,True,True,True,True,7870,18749
94,94,38.8054,6.4278,1.4174,8.4785,True,True,True,True,True,8012,19004
95,95,40.0791,7.4278,1.5159,8.602,True,True,True,True,True,8093,19212
96,96,38.9001,7.143,1.9128,8.3997,True,True,True,True,True,8202,19443
97,97,41.1128,7.2141,1.6157,8.8678,True,True,True,True,True,8300,19674
98,98,37.2842,7.6414,1.7901,7.6475,True,True,True,True,True,8401,19913
99,99,39.1309,8.8605,1.6696,8.5051,True,True,True,True,True,8484,20132
100,100,37.921,7.8101,2.3929,7.8424,True,True,True,True,True,8602,20379
101,101,38.6474,6.3929,1.7493,8.6415,True,True,True,True,True,8648,20560
102,102,44.1408,6.7701,1.5418,9.869,True,True,True,True,True,8701,20740
103,103,41.3051,7.0847,1.5713,8.7593,True,True,True,True,True,8780,20946
104,104,44.3908,7.1894,1.4988,8.9406,True,True,True,True,True,8846,21121
105,105,43.885,7.2438,1.9527,9.3219,True,True,True,True,True,8925,21341
106,106,41.4258,7.0698,1.6726,9.6257,True,True,True,True,True,9005,21553
107,107,44.9679,8.2586,1.8113,9.679,True,True,True,True,True,9057,21727
108,108,44.6529,7.4764,1.7989,11.5477,True,True,True,True,True,9111,21913
109,109,44.434,7.7854,2.0691,9.5318,True,True,True,True,True,9186,22140
110,110,47.9674,8.2387,1.7933,9.1751,True,True,True,True,True,9289,22371
111,111,43.1326,7.8261,1.8054,9.8841,True,True,True,True,True,9356,22555
112,112,44.556,7.7389,1.8634,10.391,True,True,True,True,True,9427,22753
113,113,51.2455,9.1661,1.724,11.3916,True,True,True,True,True,9486,22949
114,114,44.1273,7.999,1.7394,10.6878,True,True,True,True,True,9530,23129
115,115,47.6023,8.0486,2.0777,9.8674,True,True,True,True,True,9623,23347
116,116,49.2564,8.3651,1.7982,10.5969,True,True,True,True,True,9675,23532
117,117,46.6529,7.7932,2.1199,9.8126,True,True,True,True,True,9746,23736
118,118,48.8036,7.7283,1.7918,10.8401,True,True,True,True,True,9779,23903
119,119,47.6892,8.0392,1.8268,10.5699,True,True,True,True,True,9840,24100
120,120,50.2901,8.4539,1.5408,10.4099,True,True,True,True,True,9875,24234
