feature_mode,dimensions,case_id,time_s,direct_cosine_max_error,explicit_interference_max_error,answer_invariant,key_energy,key_energy_error
raw_bytes,256,q01,0.0,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,256,q01,0.0137,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,256,q01,1.0,1.1102230246251565e-16,2.7755575615628914e-16,True,40.0,0.0
raw_bytes,256,q01,1234.5,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,256,q01,1000000000000.0,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,256,q02,0.0,1.1102230246251565e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,256,q02,0.0137,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,256,q02,1.0,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,256,q02,1234.5,1.1102230246251565e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,256,q02,1000000000000.0,1.1102230246251565e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,256,q03,0.0,1.1102230246251565e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,256,q03,0.0137,1.1102230246251565e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,256,q03,1.0,1.1102230246251565e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,256,q03,1234.5,1.1102230246251565e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,256,q03,1000000000000.0,1.1102230246251565e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,1024,q01,0.0,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,1024,q01,0.0137,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,1024,q01,1.0,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,1024,q01,1234.5,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,1024,q01,1000000000000.0,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,1024,q02,0.0,1.1102230246251565e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,1024,q02,0.0137,1.1102230246251565e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,1024,q02,1.0,1.1102230246251565e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,1024,q02,1234.5,1.1102230246251565e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,1024,q02,1000000000000.0,1.1102230246251565e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,1024,q03,0.0,2.220446049250313e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,1024,q03,0.0137,2.220446049250313e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,1024,q03,1.0,2.220446049250313e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,1024,q03,1234.5,2.220446049250313e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,1024,q03,1000000000000.0,2.220446049250313e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,4096,q01,0.0,2.220446049250313e-16,2.7755575615628914e-16,True,40.0,0.0
raw_bytes,4096,q01,0.0137,1.1102230246251565e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,4096,q01,1.0,2.220446049250313e-16,2.7755575615628914e-16,True,40.0,0.0
raw_bytes,4096,q01,1234.5,1.1102230246251565e-16,2.7755575615628914e-16,True,40.0,0.0
raw_bytes,4096,q01,1000000000000.0,2.220446049250313e-16,2.7755575615628914e-16,True,40.0,0.0
raw_bytes,4096,q02,0.0,1.1102230246251565e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,4096,q02,0.0137,1.1102230246251565e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,4096,q02,1.0,1.1102230246251565e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,4096,q02,1234.5,1.1102230246251565e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,4096,q02,1000000000000.0,1.1102230246251565e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,4096,q03,0.0,2.220446049250313e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,4096,q03,0.0137,2.220446049250313e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,4096,q03,1.0,2.220446049250313e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,4096,q03,1234.5,2.220446049250313e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,4096,q03,1000000000000.0,2.220446049250313e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,16384,q01,0.0,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,16384,q01,0.0137,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,16384,q01,1.0,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,16384,q01,1234.5,1.1102230246251565e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,16384,q01,1000000000000.0,2.220446049250313e-16,3.3306690738754696e-16,True,40.0,0.0
raw_bytes,16384,q02,0.0,1.1102230246251565e-16,2.7755575615628914e-16,True,40.0,0.0
raw_bytes,16384,q02,0.0137,1.1102230246251565e-16,2.7755575615628914e-16,True,40.0,0.0
raw_bytes,16384,q02,1.0,2.220446049250313e-16,2.7755575615628914e-16,True,40.0,0.0
raw_bytes,16384,q02,1234.5,1.1102230246251565e-16,2.7755575615628914e-16,True,40.0,0.0
raw_bytes,16384,q02,1000000000000.0,1.1102230246251565e-16,2.7755575615628914e-16,True,40.0,0.0
raw_bytes,16384,q03,0.0,1.6653345369377348e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,16384,q03,0.0137,2.220446049250313e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,16384,q03,1.0,2.220446049250313e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,16384,q03,1234.5,1.6653345369377348e-16,4.440892098500626e-16,True,40.0,0.0
raw_bytes,16384,q03,1000000000000.0,2.220446049250313e-16,4.440892098500626e-16,True,40.0,0.0
words,256,q01,0.0,1.1102230246251565e-16,3.2417644957316583e-16,True,40.0,0.0
words,256,q01,0.0137,1.1102230246251565e-16,3.384879182499745e-16,True,40.0,0.0
words,256,q01,1.0,1.1102230246251565e-16,3.2916377956659915e-16,True,40.0,0.0
words,256,q01,1234.5,1.1102230246251565e-16,3.3089850304257595e-16,True,40.0,0.0
words,256,q01,1000000000000.0,1.1102230246251565e-16,3.2417644957316583e-16,True,40.0,0.0
words,256,q02,0.0,5.551115123125783e-17,2.2638141361497333e-16,True,40.0,0.0
words,256,q02,0.0137,5.551115123125783e-17,2.246466901389965e-16,True,40.0,0.0
words,256,q02,1.0,5.551115123125783e-17,2.1076890233118206e-16,True,40.0,0.0
words,256,q02,1234.5,5.551115123125783e-17,2.2811613709095013e-16,True,40.0,0.0
words,256,q02,1000000000000.0,5.551115123125783e-17,2.2638141361497333e-16,True,40.0,0.0
words,256,q03,0.0,5.898059818321144e-17,3.2439329000766293e-16,True,40.0,0.0
words,256,q03,0.0137,5.551115123125783e-17,3.235259282696745e-16,True,40.0,0.0
words,256,q03,1.0,1.1102230246251565e-16,3.2439329000766293e-16,True,40.0,0.0
words,256,q03,1234.5,5.898059818321144e-17,3.226585665316861e-16,True,40.0,0.0
words,256,q03,1000000000000.0,5.898059818321144e-17,3.2439329000766293e-16,True,40.0,0.0
words,1024,q01,0.0,5.551115123125783e-17,3.3415110956003247e-16,True,40.0,0.0
words,1024,q01,0.0137,5.551115123125783e-17,3.3306690738754696e-16,True,40.0,0.0
words,1024,q01,1.0,1.1102230246251565e-16,3.2439329000766293e-16,True,40.0,0.0
words,1024,q01,1234.5,5.551115123125783e-17,3.3415110956003247e-16,True,40.0,0.0
words,1024,q01,1000000000000.0,5.551115123125783e-17,3.3415110956003247e-16,True,40.0,0.0
words,1024,q02,0.0,2.5153490401663703e-17,1.2771901591879242e-16,True,40.0,0.0
words,1024,q02,0.0137,3.122502256758253e-17,1.2836953722228372e-16,True,40.0,0.0
words,1024,q02,1.0,2.905661822261152e-17,1.3183898417423734e-16,True,40.0,0.0
words,1024,q02,1234.5,3.0791341698588326e-17,1.3183898417423734e-16,True,40.0,0.0
words,1024,q02,1000000000000.0,2.5153490401663703e-17,1.2771901591879242e-16,True,40.0,0.0
words,1024,q03,0.0,1.1102230246251565e-16,3.2786273695961654e-16,True,40.0,0.0
words,1024,q03,0.0137,1.1102230246251565e-16,3.3480163086352377e-16,True,40.0,0.0
words,1024,q03,1.0,1.1102230246251565e-16,3.382710778154774e-16,True,40.0,0.0
words,1024,q03,1234.5,1.1102230246251565e-16,3.2786273695961654e-16,True,40.0,0.0
words,1024,q03,1000000000000.0,1.1102230246251565e-16,3.2786273695961654e-16,True,40.0,0.0
words,4096,q01,0.0,1.1102230246251565e-16,2.220446049250313e-16,True,40.0,0.0
words,4096,q01,0.0137,1.1102230246251565e-16,2.220446049250313e-16,True,40.0,0.0
words,4096,q01,1.0,1.1102230246251565e-16,2.220446049250313e-16,True,40.0,0.0
words,4096,q01,1234.5,5.551115123125783e-17,2.220446049250313e-16,True,40.0,0.0
