text_id,utf8_bytes,modes,time_s,exact_text,full_grid_exact_text,coefficient_max_error,relative_energy_error,relative_physical_energy_error,parseval_relative_error,coefficient_bytes
6,25,25,17.123,True,True,1.1102230246251565e-16,1.2061366226012129e-16,2.6976905802480166e-16,3.6184098678036386e-16,200
6,25,25,1000.0,True,True,0.0,0.0,0.0,3.6184098678036386e-16,200
6,25,25,1000000.0,True,True,0.0,0.0,0.0,3.6184098678036386e-16,200
6,25,25,1000000000000.0,True,True,0.0,0.0,0.0,3.6184098678036386e-16,200
7,30,30,0.0,True,True,0.0,0.0,0.0,3.593516648823021e-16,240
7,30,30,1e-06,True,True,1.1102230246251565e-16,1.197838882941007e-16,0.0,3.593516648823021e-16,240
7,30,30,0.0137,True,True,1.1102230246251565e-16,2.395677765882014e-16,0.0,3.593516648823021e-16,240
7,30,30,0.25,True,True,0.0,1.197838882941007e-16,0.0,3.593516648823021e-16,240
7,30,30,1.0,True,True,0.0,0.0,0.0,3.593516648823021e-16,240
7,30,30,17.123,True,True,1.1102230246251565e-16,0.0,1.416353042937181e-16,3.593516648823021e-16,240
7,30,30,1000.0,True,True,0.0,0.0,0.0,3.593516648823021e-16,240
7,30,30,1000000.0,True,True,0.0,0.0,0.0,3.593516648823021e-16,240
7,30,30,1000000000000.0,True,True,0.0,0.0,0.0,3.593516648823021e-16,240
8,20,20,0.0,True,True,0.0,0.0,0.0,2.038206416698452e-16,160
8,20,20,1e-06,True,True,5.551115123125783e-17,0.0,2.0626368770902652e-16,2.038206416698452e-16,160
8,20,20,0.0137,True,True,5.551115123125783e-17,2.038206416698452e-16,0.0,2.038206416698452e-16,160
8,20,20,0.25,True,True,5.551115123125783e-17,2.038206416698452e-16,0.0,2.038206416698452e-16,160
8,20,20,1.0,True,True,0.0,0.0,0.0,2.038206416698452e-16,160
8,20,20,17.123,True,True,5.551115123125783e-17,0.0,0.0,2.038206416698452e-16,160
8,20,20,1000.0,True,True,0.0,0.0,0.0,2.038206416698452e-16,160
8,20,20,1000000.0,True,True,0.0,0.0,0.0,2.038206416698452e-16,160
8,20,20,1000000000000.0,True,True,0.0,0.0,0.0,2.038206416698452e-16,160
9,5300,5300,0.0,True,True,0.0,0.0,0.0,1.8944747158213794e-16,42400
9,5300,5300,1e-06,True,True,4.440892098500626e-16,3.788949431642759e-16,0.0,1.8944747158213794e-16,42400
9,5300,5300,0.0137,True,True,4.440892098500626e-16,1.8944747158213794e-16,0.0,1.8944747158213794e-16,42400
9,5300,5300,0.25,True,True,4.440892098500626e-16,1.8944747158213794e-16,0.0,1.8944747158213794e-16,42400
9,5300,5300,1.0,True,True,4.440892098500626e-16,1.8944747158213794e-16,0.0,1.8944747158213794e-16,42400
9,5300,5300,17.123,True,True,8.881784197001252e-16,1.8944747158213794e-16,0.0,1.8944747158213794e-16,42400
9,5300,5300,1000.0,True,True,4.440892098500626e-16,1.8944747158213794e-16,0.0,1.8944747158213794e-16,42400
9,5300,5300,1000000.0,True,True,4.440892098500626e-16,0.0,1.1847494445956624e-16,1.8944747158213794e-16,42400
9,5300,5300,1000000000000.0,True,True,4.440892098500626e-16,3.788949431642759e-16,0.0,1.8944747158213794e-16,42400
10,27,27,0.0,True,True,0.0,0.0,0.0,4.85964488986938e-16,216
10,27,27,1e-06,True,True,1.1102230246251565e-16,1.61988162995646e-16,0.0,4.85964488986938e-16,216
10,27,27,0.0137,True,True,1.1102230246251565e-16,1.61988162995646e-16,0.0,4.85964488986938e-16,216
10,27,27,0.25,True,True,1.1102230246251565e-16,1.61988162995646e-16,0.0,4.85964488986938e-16,216
10,27,27,1.0,True,True,1.1102230246251565e-16,0.0,0.0,4.85964488986938e-16,216
10,27,27,17.123,True,True,1.1102230246251565e-16,0.0,1.4720736641704515e-16,4.85964488986938e-16,216
10,27,27,1000.0,True,True,1.1102230246251565e-16,3.23976325991292e-16,0.0,4.85964488986938e-16,216
10,27,27,1000000.0,True,True,1.1102230246251565e-16,0.0,0.0,4.85964488986938e-16,216
10,27,27,1000000000000.0,True,True,1.1102230246251565e-16,1.61988162995646e-16,0.0,4.85964488986938e-16,216
11,209,209,0.0,True,True,0.0,0.0,0.0,2.8930413093970066e-16,1672
11,209,209,1e-06,True,True,2.220446049250313e-16,1.4465206546985033e-16,0.0,2.8930413093970066e-16,1672
11,209,209,0.0137,True,True,2.220446049250313e-16,2.8930413093970066e-16,0.0,2.8930413093970066e-16,1672
11,209,209,0.25,True,True,2.220446049250313e-16,1.4465206546985033e-16,0.0,2.8930413093970066e-16,1672
11,209,209,1.0,True,True,2.220446049250313e-16,0.0,0.0,2.8930413093970066e-16,1672
11,209,209,17.123,True,True,2.220446049250313e-16,1.4465206546985033e-16,0.0,2.8930413093970066e-16,1672
11,209,209,1000.0,True,True,2.220446049250313e-16,1.4465206546985033e-16,0.0,2.8930413093970066e-16,1672
11,209,209,1000000.0,True,True,2.220446049250313e-16,0.0,0.0,2.8930413093970066e-16,1672
11,209,209,1000000000000.0,True,True,2.220446049250313e-16,2.8930413093970066e-16,0.0,2.8930413093970066e-16,1672
12,844,844,0.0,True,True,0.0,0.0,0.0,1.5006254270671146e-16,6752
12,844,844,1e-06,True,True,2.220446049250313e-16,0.0,0.0,1.5006254270671146e-16,6752
12,844,844,0.0137,True,True,2.220446049250313e-16,4.501876281201344e-16,0.0,1.5006254270671146e-16,6752
12,844,844,0.25,True,True,2.220446049250313e-16,1.5006254270671146e-16,0.0,1.5006254270671146e-16,6752
12,844,844,1.0,True,True,2.220446049250313e-16,1.5006254270671146e-16,0.0,1.5006254270671146e-16,6752
12,844,844,17.123,True,True,2.220446049250313e-16,1.5006254270671146e-16,1.5318230811535914e-16,1.5006254270671146e-16,6752
12,844,844,1000.0,True,True,2.220446049250313e-16,3.0012508541342292e-16,0.0,1.5006254270671146e-16,6752
12,844,844,1000000.0,True,True,2.220446049250313e-16,1.5006254270671146e-16,1.5318230811535914e-16,1.5006254270671146e-16,6752
12,844,844,1000000000000.0,True,True,2.220446049250313e-16,4.501876281201344e-16,0.0,1.5006254270671146e-16,6752
